id,geopos,apartments,price,year
1221,"{'type': 'Point', 'coordinates': [37.555526, 55.551451]}",142,292176.0,1999
1222,"{'type': 'Point', 'coordinates': [37.554079, 55.550397]}",232,286136.0,1994
1223,"{'type': 'Point', 'coordinates': [37.556622, 55.551599]}",48,302290.0,1999
1224,"{'type': 'Point', 'coordinates': [37.55699, 55.551181]}",77,220797.0,1999
1225,"{'type': 'Point', 'coordinates': [37.558364, 55.552581]}",316,360617.0,2002
1226,"{'type': 'Point', 'coordinates': [37.557412, 55.555072]}",487,252473.0,2019
1227,"{'type': 'Point', 'coordinates': [37.557628, 55.554557]}",309,395782.0,2021
1228,"{'type': 'Point', 'coordinates': [37.55485239329294, 55.55399833319082]}",592,263468.0,2021
1229,"{'type': 'Point', 'coordinates': [37.55399, 55.5539]}",359,306897.0,2021
1230,"{'type': 'Point', 'coordinates': [37.557188, 55.555596]}",451,375817.0,2019
1231,"{'type': 'Point', 'coordinates': [37.554017, 55.555189]}",1383,252286.0,2019
1232,"{'type': 'Point', 'coordinates': [37.552157, 55.552408]}",426,259065.0,2008
1233,"{'type': 'Point', 'coordinates': [37.539024, 55.550101]}",254,270611.0,2002
1234,"{'type': 'Point', 'coordinates': [37.535062, 55.551161]}",137,257542.0,2001
1235,"{'type': 'Point', 'coordinates': [37.537559, 55.55111]}",316,249827.0,2001
1236,"{'type': 'Point', 'coordinates': [37.522351, 55.547148]}",275,277676.0,2000
1237,"{'type': 'Point', 'coordinates': [37.521803, 55.546165]}",77,259872.0,2001
1238,"{'type': 'Point', 'coordinates': [37.520527, 55.546246]}",100,213574.0,2000
1239,"{'type': 'Point', 'coordinates': [37.519557, 55.546557]}",223,226167.0,2000
1240,"{'type': 'Point', 'coordinates': [37.519063, 55.545788]}",120,203564.0,2000
1241,"{'type': 'Point', 'coordinates': [37.520051, 55.545737]}",151,313070.0,2000
1242,"{'type': 'Point', 'coordinates': [37.516512, 55.544749]}",69,259365.0,2001
1243,"{'type': 'Point', 'coordinates': [37.518219, 55.545238]}",66,234404.0,2001
1244,"{'type': 'Point', 'coordinates': [37.516997, 55.545783]}",156,238555.0,2000
1245,"{'type': 'Point', 'coordinates': [37.504843, 55.541168]}",272,297439.0,2001
1246,"{'type': 'Point', 'coordinates': [37.506154, 55.541097]}",28,188384.0,2000
1247,"{'type': 'Point', 'coordinates': [37.503953, 55.539273]}",223,255130.0,2001
1248,"{'type': 'Point', 'coordinates': [37.503244, 55.540511]}",38,235334.0,2000
1249,"{'type': 'Point', 'coordinates': [37.501968, 55.540389]}",262,248938.0,2001
1250,"{'type': 'Point', 'coordinates': [37.505175, 55.538433]}",26,185528.0,2000
1251,"{'type': 'Point', 'coordinates': [37.505624, 55.537745]}",118,328297.0,2000
1252,"{'type': 'Point', 'coordinates': [37.503971, 55.537801]}",240,335146.0,2001
1253,"{'type': 'Point', 'coordinates': [37.505867, 55.536767]}",204,285494.0,2011
1254,"{'type': 'Point', 'coordinates': [37.506765, 55.536543]}",184,307176.0,2011
1255,"{'type': 'Point', 'coordinates': [37.506334, 55.537429]}",346,336409.0,2011
1256,"{'type': 'Point', 'coordinates': [37.508113, 55.538086]}",242,297618.0,2004
1257,"{'type': 'Point', 'coordinates': [37.507169, 55.538392]}",141,211777.0,2000
1258,"{'type': 'Point', 'coordinates': [37.506082, 55.538667]}",70,277130.0,2000
1259,"{'type': 'Point', 'coordinates': [37.506612, 55.539156]}",22,281968.0,2000
1260,"{'type': 'Point', 'coordinates': [37.508301, 55.539314]}",187,250321.0,2001
1261,"{'type': 'Point', 'coordinates': [37.509649, 55.540078]}",201,287264.0,2000
1262,"{'type': 'Point', 'coordinates': [37.510152, 55.539232]}",150,317139.0,2004
1263,"{'type': 'Point', 'coordinates': [37.511787, 55.539767]}",258,302141.0,2004
1264,"{'type': 'Point', 'coordinates': [37.512074, 55.541428]}",382,226290.0,2000
1265,"{'type': 'Point', 'coordinates': [37.51264, 55.542202]}",89,174459.0,2000
1266,"{'type': 'Point', 'coordinates': [37.509748, 55.541413]}",320,296159.0,2001
1267,"{'type': 'Point', 'coordinates': [37.509379, 55.540827]}",191,288090.0,2001
1268,"{'type': 'Point', 'coordinates': [37.507699, 55.541611]}",198,191283.0,2000
1269,"{'type': 'Point', 'coordinates': [37.510331, 55.542905]}",118,280734.0,2000
1270,"{'type': 'Point', 'coordinates': [37.511544, 55.543516]}",311,273883.0,2001
1271,"{'type': 'Point', 'coordinates': [37.516422, 55.544148]}",132,253490.0,2001
1272,"{'type': 'Point', 'coordinates': [37.516323, 55.542936]}",175,250847.0,2001
1273,"{'type': 'Point', 'coordinates': [37.516494, 55.543633]}",69,223698.0,2000
1274,"{'type': 'Point', 'coordinates': [37.517949, 55.543628]}",95,183780.0,2000
1275,"{'type': 'Point', 'coordinates': [37.518282, 55.542767]}",263,223536.0,2000
1276,"{'type': 'Point', 'coordinates': [37.519737, 55.54263]}",169,293412.0,2001
1277,"{'type': 'Point', 'coordinates': [37.522243, 55.541988]}",322,179206.0,2003
1278,"{'type': 'Point', 'coordinates': [37.521201, 55.541805]}",331,228409.0,2003
1279,"{'type': 'Point', 'coordinates': [37.519279, 55.541825]}",376,228855.0,2003
1280,"{'type': 'Point', 'coordinates': [37.517374, 55.541392]}",222,250356.0,2003
1281,"{'type': 'Point', 'coordinates': [37.517132, 55.539441]}",191,298107.0,2003
1282,"{'type': 'Point', 'coordinates': [37.5175, 55.540592]}",247,219416.0,2003
1283,"{'type': 'Point', 'coordinates': [37.519395, 55.539864]}",105,220956.0,2003
1284,"{'type': 'Point', 'coordinates': [37.521462, 55.540363]}",310,280868.0,2003
1285,"{'type': 'Point', 'coordinates': [37.523645, 55.540939]}",186,249716.0,2004
1286,"{'type': 'Point', 'coordinates': [37.528325, 55.538224]}",29,205030.0,2004
1287,"{'type': 'Point', 'coordinates': [37.531631, 55.538855]}",107,226801.0,1999
1288,"{'type': 'Point', 'coordinates': [37.531595, 55.537704]}",153,180363.0,1999
1289,"{'type': 'Point', 'coordinates': [37.532709, 55.538519]}",160,200705.0,2000
1290,"{'type': 'Point', 'coordinates': [37.532116, 55.537246]}",85,229679.0,1996
1291,"{'type': 'Point', 'coordinates': [37.532646, 55.536471]}",29,222558.0,1996
1292,"{'type': 'Point', 'coordinates': [37.531657, 55.536176]}",140,312213.0,1996
1293,"{'type': 'Point', 'coordinates': [37.530139, 55.536385]}",73,229118.0,1998
1294,"{'type': 'Point', 'coordinates': [37.529322, 55.537149]}",122,261676.0,1999
1295,"{'type': 'Point', 'coordinates': [37.529394, 55.537821]}",97,250090.0,1999
1296,"{'type': 'Point', 'coordinates': [37.528442, 55.537668]}",34,179969.0,2004
1297,"{'type': 'Point', 'coordinates': [37.527741, 55.536043]}",129,280330.0,1999
1298,"{'type': 'Point', 'coordinates': [37.52837, 55.536563]}",68,202724.0,1999
1299,"{'type': 'Point', 'coordinates': [37.527696, 55.535162]}",49,322646.0,2000
1300,"{'type': 'Point', 'coordinates': [37.529466, 55.534729]}",76,195311.0,1996
1301,"{'type': 'Point', 'coordinates': [37.528253, 55.534189]}",131,236252.0,2001
1302,"{'type': 'Point', 'coordinates': [37.526313, 55.534816]}",67,188142.0,2001
1303,"{'type': 'Point', 'coordinates': [37.524875, 55.535356]}",168,332200.0,2000
1304,"{'type': 'Point', 'coordinates': [37.520761, 55.536354]}",34,219508.0,2001
1305,"{'type': 'Point', 'coordinates': [37.521228, 55.535936]}",28,236618.0,2001
1306,"{'type': 'Point', 'coordinates': [37.521093, 55.535213]}",156,161629.0,1999
1307,"{'type': 'Point', 'coordinates': [37.517545, 55.534352]}",135,265733.0,2000
1308,"{'type': 'Point', 'coordinates': [37.519342, 55.534204]}",178,186558.0,1996
1309,"{'type': 'Point', 'coordinates': [37.519521, 55.534938]}",102,283295.0,1999
1310,"{'type': 'Point', 'coordinates': [37.519755, 55.533537]}",52,190439.0,1996
1311,"{'type': 'Point', 'coordinates': [37.521453, 55.533481]}",30,181490.0,1996
1312,"{'type': 'Point', 'coordinates': [37.522072, 55.534688]}",81,165203.0,1999
1313,"{'type': 'Point', 'coordinates': [37.52333, 55.535269]}",137,250399.0,1999
1314,"{'type': 'Point', 'coordinates': [37.524192, 55.534163]}",142,263940.0,1996
1315,"{'type': 'Point', 'coordinates': [37.526429, 55.533878]}",144,186594.0,2001
